Date,Open,High,Low,Close,Volume
2004-01-30,107.3900,111.6900,106.2600,109.2400,3455400
2004-02-27,109.4000,112.0900,108.2600,110.7700,2217000
2004-03-31,110.8900,112.7900,105.2500,109.2800,4214000
2004-04-30,109.3000,111.6600,106.4000,106.8500,3393300
2004-05-28,107.6500,108.8800,103.6500,108.4000,4553500
2004-06-30,108.3000,110.7800,107.7500,110.2200,3065700
2004-07-30,110.3000,110.4300,103.6200,106.3000,3032000
2004-08-31,105.5000,106.9200,101.9000,106.3600,3374300
2004-09-30,106.4500,109.5700,106.0000,107.7600,4581700
2004-10-29,108.3500,110.5000,105.9900,109.7000,4086200
2004-11-30,109.8500,115.9700,109.4600,114.9000,5163300
2004-12-31,115.2500,118.9900,114.5900,118.0500,4859800
2005-01-31,118.8000,118.8500,113.0800,115.1000,2771500
2005-02-28,115.1000,118.2500,115.0500,117.5000,2128400
2005-03-31,117.7000,120.0100,113.2000,114.8600,2422100
2005-04-29,115.6000,116.0500,110.6300,112.3300,2641800
2005-05-31,112.5500,117.1300,111.6088,116.6900,2602700
2005-06-30,116.7000,119.8800,116.5100,117.1700,2405500
2005-07-29,117.4000,122.8800,116.5000,122.3000,2432200
2005-08-31,122.3500,123.1000,118.5100,120.9700,2568000
2005-09-30,120.8500,123.0900,119.1200,121.3500,3344900
2005-10-31,121.6000,121.8900,114.8500,118.5000,3458300
2005-11-30,118.8500,125.9099,118.5000,123.9700,3936500
2005-12-30,124.6400,126.6399,123.1000,123.3300,3808400
2006-01-31,123.7100,128.4000,122.8600,127.3000,5427200
2006-02-28,127.3800,129.3000,124.8100,127.5800,3092800
2006-03-31,128.1500,130.6101,126.2001,129.6700,3116000
2006-04-28,129.9000,131.8290,127.8100,130.9100,2847100
2006-05-31,131.4700,132.7700,123.7200,126.6900,5993800
2006-06-30,126.7000,129.0000,121.0000,126.3100,6970900
2006-07-31,127.0000,127.3200,121.0300,126.1600,4336700
2006-08-31,125.6500,129.3800,124.3500,129.0600,3048100
2006-09-29,129.6500,132.1188,127.5108,131.4700,3165400
2006-10-31,131.5000,137.3500,130.4206,136.2100,3229000
2006-11-30,136.6900,139.7900,134.4200,139.2500,3045000
2006-12-29,139.4500,142.2900,137.7900,140.2100,2791500
2007-01-31,141.1500,143.0999,138.6500,142.8200,4952900
2007-02-28,143.2000,145.9000,135.1700,140.5000,4357600
2007-03-30,137.9600,143.6800,136.1000,141.4700,5478100
2007-04-30,141.9800,148.8900,141.0500,147.1560,4283000
2007-05-31,147.3000,152.9400,146.4400,152.6400,4444000
2007-06-29,153.0500,153.6200,147.1600,149.3800,6036000
